k,quasi,step
1,743.3373098680204,9.63971854140372e-8
2,743.3379120859245,1.0
3,713.4329768092175,1.0
4,645.5132236942045,1.0
5,497.4875681882004,1.0
6,281.903969603165,1.0
7,68.16595118002806,0.6400000000000001
8,0.7100667085178429,0.08589934592000005
9,0.025473227382462937,0.1677721600000001
10,0.00033621051989030093,0.10737418240000006
11,1.602267730049789e-6,0.054975581388800036
12,2.0923471311107278e-7,0.13421772800000006
13,1.74892193172127e-7,0.13421772800000006
14,1.7417187336832285e-7,0.08589934592000005
15,1.7416459741070867e-7,0.5120000000000001
16,1.7416095943190157e-7,3.7414441915671226e-6
17,1.7416095943190157e-7,0.0030223145490365774
18,1.7416095943190157e-7,0.2621440000000001
19,1.7416095943190157e-7,0.6400000000000001
20,1.7416095943190157e-7,0.0
